[ERROR 2020-02-12 17:28:12]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:29:18]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:30:18]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:18]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:18]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:18]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:18]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:18]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:18]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:30:18]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:30:19]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:30:19]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:30:19]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:30:19]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:30:19]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:30:19]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:30:20]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:30:50]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:50]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:50]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:50]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:50]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:50]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 17:30:50]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:30:51]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:30:51]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 17:30:51]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:30:51]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:30:51]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 17:30:51]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:30:51]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 17:30:52]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 19:52:50]执行失败
[ERROR 2020-02-12 19:52:53]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 19:52:53]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 19:52:54]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 19:52:54]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 19:52:54]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 19:52:54]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-12 19:52:54]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 19:52:54]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 19:52:54]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-12 19:52:55]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 19:52:55]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 19:52:55]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-12 19:52:55]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 19:52:55]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-12 19:52:56]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-13 10:58:45]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-13 10:58:46]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-13 10:58:46]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-13 10:58:46]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-13 10:58:46]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-13 10:58:46]statusCode error, expected_code is 200, statusCode is 404 
[ERROR 2020-02-13 10:58:46]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-13 10:58:46]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-13 10:58:47]statusCode error, expected_code is 400, statusCode is 404 
[ERROR 2020-02-13 10:58:47]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-13 10:58:47]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-13 10:58:47]statusCode error, expected_code is 200, statusCode is 405 
[ERROR 2020-02-13 10:58:47]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-13 10:58:47]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
[ERROR 2020-02-13 10:58:48]Response body msg != expected_msg, expected_msg is OK, body_msg is msg
